from,to,weight,type,gene
b2530,b2500,1.000,obo1,b2530
b2533,b3993,1.000,obo1,b2533
b2125,b2500,1.000,obo1,b2125
b1243,b2500,1.000,obo1,b1243
b1517,b2500,1.000,obo1,b1517
b0184,b3654,1.000,obo1,b0184
b0182,b2500,1.000,obo1,b0182
b4153,b3992,1.000,obo1,b4153
b3992,b3430,0.750,obo2,b4153
b3430,b3981,0.500,obo1,b4153
b3981,b4096,0.250,obo2,b4153
b4016,b2557,1.000,obo1,b4016
b1518,b2500,1.000,obo1,b1518
b4217,b3342,1.000,obo1,b4217
b3891,b2500,1.000,obo1,b3891
b0931,b3654,1.000,obo1,b0931
b3430,b3981,1.000,obo1,b3430
b3981,b4096,0.500,obo2,b3430
b2751,b2557,1.000,obo1,b2751
b2752,b2557,1.000,obo1,b2752
b3936,b3997,1.000,obo1,b3936
b2127,b3342,1.000,obo1,b2127
b1631,b3993,1.000,obo1,b1631
b4306,b2500,1.000,obo1,b4306
b0809,b2500,1.000,obo1,b0809
b3021,b2500,1.000,obo1,b3021
b1126,b3993,1.000,obo1,b1126
b0795,b3654,1.000,obo1,b0795
b0794,b2500,1.000,obo1,b0794
b1252,b3987,1.000,obo1,b1252
b3987,b2259,0.500,obo2,b1252
b3610,b3654,1.000,obo1,b3610
b1258,b3981,1.000,obo1,b1258
b3981,b4096,0.500,obo2,b1258
b4375,b3997,1.000,obo1,b4375
b4376,b3342,1.000,obo1,b4376
b4372,b3997,1.000,obo1,b4372
b3296,b3993,1.000,obo1,b3296
b0723,b3990,1.000,obo1,b0723
b0720,b3990,1.000,obo1,b0720
b0721,b3990,1.000,obo1,b0721
b1224,b2500,1.000,obo1,b1224
b1225,b2500,1.000,obo1,b1225
b0724,b3990,1.000,obo1,b0724
b0897,b3981,1.000,obo1,b0897
b3981,b4096,0.500,obo2,b0897
b3507,b3981,1.000,obo1,b3507
b3981,b4096,0.500,obo2,b3507
b4051,b3342,1.000,obo1,b4051
b2679,b3654,1.000,obo1,b2679
b2676,b3654,1.000,obo1,b2676
b0473,b2557,1.000,obo1,b0473
b2903,b2500,1.000,obo1,b2903
b2904,b2500,1.000,obo1,b2904
b2673,b2500,1.000,obo1,b2673
b4118,b3342,1.000,obo1,b4118
b2847,b2500,1.000,obo1,b2847
b0727,b3990,1.000,obo1,b0727
b0977,b2500,1.000,obo1,b0977
b0975,b2557,1.000,obo1,b0975
b0973,b2557,1.000,obo1,b0973
b0972,b2557,1.000,obo1,b0972
b4280,b2500,1.000,obo1,b4280
b0151,b3987,1.000,obo1,b0151
b3987,b2259,0.500,obo2,b0151
b3753,b3654,1.000,obo1,b3753
b3751,b3654,1.000,obo1,b3751
b3204,b3654,1.000,obo1,b3204
b0090,b2500,1.000,obo1,b0090
b0091,b3654,1.000,obo1,b0091
b0093,b2500,1.000,obo1,b0093
b0094,b3654,1.000,obo1,b0094
b2150,b3987,1.000,obo1,b2150
b3987,b2259,0.500,obo2,b2150
b2155,b3987,1.000,obo1,b2155
b3987,b2259,0.500,obo2,b2155
b2012,b2557,1.000,obo1,b2012
b0077,b2500,1.000,obo1,b0077
b3871,b3997,1.000,obo1,b3871
b3870,b3997,1.000,obo1,b3870
b0072,b2500,1.000,obo1,b0072
b0073,b2500,1.000,obo1,b0073
b0071,b2500,1.000,obo1,b0071
b0078,b3654,1.000,obo1,b0078
b2086,b3981,1.000,obo1,b2086
b3981,b4096,0.500,obo2,b2086
b2479,b2500,1.000,obo1,b2479
b2573,b3654,1.000,obo1,b2573
b2572,b2500,1.000,obo1,b2572
b2707,b2557,1.000,obo1,b2707
b2702,b0440,1.000,obo1,b2702
b0440,b0726,0.667,obo2,b2702
b0726,b3990,0.333,obo1,b2702
b1077,b0440,1.000,obo1,b1077
b0440,b0726,0.667,obo2,b1077
b0726,b3990,0.333,obo1,b1077
